tick,type,king,knight,merc,amount,stake,p_knight,notes,trait,delta,invest,wealth_created,rv,threshold,employer,agent
1,trade,K-00,,,,,,,,,100,5,,,,
1,trade,K-01,,,,,,,,,100,5,,,,
1,trade,K-02,,,,,,,,,100,5,,,,
1,trade,K-03,,,,,,,,,100,5,,,,
1,trade,K-04,,,,,,,,,100,5,,,,
1,trade,K-05,,,,,,,,,100,5,,,,
1,trade,K-06,,,,,,,,,100,5,,,,
1,trade,K-07,,,,,,,,,100,5,,,,
1,trade,K-08,,,,,,,,,100,5,,,,
1,trade,K-09,,,,,,,,,100,5,,,,
1,retainer,,N-00,,22,,,,,,,,,,K-06,
1,retainer,,N-01,,25,,,,,,,,,,K-00,
1,retainer,,N-02,,21,,,,,,,,,,K-07,
1,retainer,,N-03,,21,,,,,,,,,,K-05,
1,retainer,,N-04,,29,,,,,,,,,,K-02,
1,retainer,,N-05,,21,,,,,,,,,,K-01,
1,retainer,,N-06,,23,,,,,,,,,,K-01,
1,retainer,,N-07,,25,,,,,,,,,,K-09,
1,retainer,,N-08,,22,,,,,,,,,,K-03,
1,retainer,,N-09,,23,,,,,,,,,,K-07,
1,retainer,,N-10,,25,,,,,,,,,,K-04,
1,retainer,,N-11,,29,,,,,,,,,,K-05,
1,retainer,,N-12,,29,,,,,,,,,,K-02,
1,retainer,,N-13,,24,,,,,,,,,,K-09,
1,retainer,,N-14,,29,,,,,,,,,,K-08,
1,retainer,,N-15,,28,,,,,,,,,,K-06,
1,retainer,,N-16,,28,,,,,,,,,,K-03,
1,retainer,,N-17,,29,,,,,,,,,,K-00,
1,retainer,,N-18,,24,,,,,,,,,,K-04,
1,retainer,,N-19,,28,,,,,,,,,,K-08,
1,bribe_accept,K-09,,M-00,461,,,success,,,,,43.9,,,
1,bribe_accept,K-00,,M-01,310,,,success,,,,,43.25,,,
1,bribe_accept,K-04,,M-02,315,,,success,,,,,41.8,,,
1,bribe_accept,K-01,,M-03,481,,,success,,,,,37.45,,,
1,bribe_accept,K-05,,M-04,457,,,success,,,,,44.2,,,
1,bribe_accept,K-06,,M-05,387,,,success,,,,,41.45,,,
1,bribe_accept,K-08,,M-06,463,,,success,,,,,42.25,,,
1,bribe_accept,K-09,,M-07,461,,,success,,,,,38.55,,,
1,bribe_accept,K-07,,M-08,452,,,success,,,,,40.85,,,
1,bribe_accept,K-00,,M-09,310,,,success,,,,,36.65,,,
1,bribe_accept,K-03,,M-10,477,,,success,,,,,41.45,,,
1,bribe_accept,K-04,,M-11,315,,,success,,,,,34.95,,,
1,bribe_accept,K-02,,M-12,476,,,success,,,,,36.0,,,
1,bribe_accept,K-05,,M-13,457,,,success,,,,,37.75,,,
1,bribe_accept,K-01,,M-14,481,,,success,,,,,37.6,,,
1,bribe_accept,K-06,,M-15,387,,,success,,,,,41.6,,,
1,bribe_accept,K-08,,M-16,463,,,success,,,,,34.65,,,
1,bribe_accept,K-09,,M-17,461,,,success,,,,,39.45,,,
1,bribe_accept,K-07,,M-18,452,,,success,,,,,33.25,,,
1,bribe_accept,K-00,,M-19,310,,,success,,,,,36.05,,,
1,bribe_accept,K-03,,M-20,477,,,success,,,,,37.5,,,
1,bribe_accept,K-02,,M-21,476,,,success,,,,,37.05,,,
1,bribe_accept,K-04,,M-22,315,,,success,,,,,32.35,,,
1,bribe_accept,K-05,,M-23,457,,,success,,,,,33.8,,,
1,bribe_accept,K-01,,M-24,481,,,success,,,,,34.65,,,
1,bribe_accept,K-06,,M-25,387,,,success,,,,,36.4,,,
1,bribe_accept,K-08,,M-26,463,,,success,,,,,31.95,,,
1,bribe_accept,K-07,,M-27,452,,,success,,,,,32.95,,,
1,bribe_accept,K-09,,M-28,461,,,success,,,,,35.75,,,
1,bribe_accept,K-00,,M-29,310,,,success,,,,,34.75,,,
1,bribe_accept,K-03,,M-30,477,,,success,,,,,33.7,,,
1,bribe_accept,K-02,,M-31,476,,,success,,,,,28.6,,,
